2.77,3.02,3.32,9931.413,9851.647,.,0.6906027,0.25,..1,..2,..3,..4,..5,..6,..7,..8,..9,..10,..11,..12,..13,..14,..15
9.33,9.92,10.07,9772.677,9528.673,1.96136,2.32611,0.5900002,2.061836,1.702617,0.4199991,-0.1004754,1.059999,8.27,0.2587434,0.2642739,-0.4090168,0.1695343,1.23,1.07,0.6800003,8.69,0.170001
7.6,7.74,7.34,9814.044,9628.401,2.994867,1.894794,0.1399999,2.32611,1.96136,0.5900002,0.6687574,-1.73,9.33,1.033507,-0.4313152,0.2587434,0.2642739,-2.18,1.23,1.059999,9.92,-0.4500003
5.46,5.75,5.86,9865.702,9721.279,2.464592,1.36126,0.29,1.894794,2.994867,0.1399999,0.5697973,-2.14,7.6,-0.5302753,-0.5335342,1.033507,-0.4313152,-1.99,-2.18,-1.73,7.74,0.1500001
5.26,5.6,6.04,9870.558,9728.353,1.535583,1.311397,0.3399997,1.36126,2.464592,0.29,0.1743228,-0.1999998,5.46,-0.9290086,-0.049863,-0.5302753,-0.5335342,-0.1500001,-1.99,-2.14,5.75,0.0499997
6.54,7.19,7.55,9839.563,9653.894,1.143163,1.630521,0.6500001,1.311397,1.535583,0.3399997,-0.1682342,1.28,5.26,-0.3924201,0.3191233,-0.9290086,-0.049863,1.59,-0.1500001,-0.1999998,5.6,0.3100004
5.6,6.22,6.52,9862.306,9699.182,2.15884,1.396164,0.6199999,1.630521,1.143163,0.6500001,0.5283194,-0.9400001,6.54,1.015677,-0.2343562,-0.3924201,0.3191233,-0.9700003,1.59,1.28,7.19,-0.0300002
5.05,5.65,6.05,9875.661,9725.993,1.81953,1.259041,0.5999999,1.396164,2.15884,0.6199999,0.4233654,-0.5499997,5.6,-0.3393102,-0.1371232,1.015677,-0.2343562,-0.5699997,-0.9700003,-0.9400001,6.22,-0.02
5.61,6.13,6.69,9862.063,9703.405,1.399038,1.398658,0.52,1.259041,1.81953,0.5999999,0.1399965,0.5599999,5.05,-0.4204921,0.1396164,-0.3393102,-0.1371232,0.48,-0.5699997,-0.5499997,5.65,-0.0799999
5.2,5.54,5.85,9872.016,9731.185,1.737641,1.296438,0.3400002,1.398658,1.399038,0.52,0.3389834,-0.4100003,5.61,0.3386033,-0.1022192,-0.4204921,0.1396164,-0.5900002,0.48,0.5599999,6.13,-0.1799998
4.51,4.71,4.91,9888.81,9770.534,1.619793,1.124411,0.1999998,1.296438,1.737641,0.3400002,0.3233542,-0.6899996,5.2,-0.1178484,-0.1720273,0.3386033,-0.1022192,-0.8299999,-0.5900002,-0.4100003,5.54,-0.1400003
4.8,5.1,5.52,9881.744,9752.005,1.138218,1.196712,0.2999997,1.124411,1.619793,0.1999998,0.0138068,0.29,4.51,-0.4815748,0.0723014,-0.1178484,-0.1720273,0.3899999,-0.8299999,-0.6899996,4.71,0.0999999
5.13,5.42,5.71,9873.717,9736.854,1.248071,1.278986,0.29,1.196712,1.138218,0.2999997,0.0513583,0.3299999,4.8,0.1098529,0.082274,-0.4815748,0.0723014,0.3200002,0.3899999,0.29,5.1,-0.0099998
5.7,6.1,6.33,9859.882,9704.814,1.263523,1.421096,0.4000001,1.278986,1.248071,0.29,-0.0154638,0.5699997,5.13,0.0154518,0.1421095,0.1098529,0.082274,0.6799998,0.3200002,0.3299999,5.42,0.1100001
6.2,6.65,6.9,9847.777,9679.053,1.473113,1.545753,0.4500003,1.421096,1.263523,0.4000001,0.0520172,0.5,5.7,0.2095906,0.1246575,0.0154518,0.1421095,0.5500002,0.6799998,0.5699997,6.1,0.0500002
6.6,7.02,7.28,9838.116,9661.8,1.643378,1.645479,0.4200001,1.545753,1.473113,0.4500003,0.0976251,0.4000001,6.2,0.1702654,0.0997261,0.2095906,0.1246575,0.3699999,0.5500002,0.5,6.65,-0.0300002
6.83,7.5,7.9,9832.569,9639.509,1.767471,1.702822,0.6700001,1.645479,1.643378,0.4200001,0.1219918,0.23,6.6,0.1240927,0.0573424,0.1702654,0.0997261,0.48,0.3699999,0.4000001,7.02,0.25
7.77,8.08,8.46,9809.964,9612.711,1.768296,1.937178,0.3099999,1.702822,1.767471,0.6700001,0.0654745,0.9400001,6.83,0.0008252,0.2343563,0.1240927,0.0573424,0.5799999,0.48,0.23,7.5,-0.3600001
9.31,9.82,10.07,9773.153,9533.202,1.669065,2.321123,0.5099993,1.937178,1.768296,0.3099999,-0.2681133,1.54,7.77,-0.0992315,0.3839452,0.0008252,0.2343563,1.74,0.5799999,0.9400001,8.08,0.1999993
9.79,10.09,10.35,9761.736,9520.982,2.397245,2.440794,0.3000002,2.321123,1.669065,0.5099993,0.0761213,0.4799995,9.31,0.7281798,0.1196711,-0.0992315,0.3839452,0.2700005,1.74,1.54,9.82,-0.2099991
9.89,10.03,9.87,9759.361,9523.695,2.503722,2.465726,0.1399994,2.440794,2.397245,0.3000002,0.0629272,0.1000004,9.79,0.106477,0.0249317,0.7281798,0.1196711,-0.0600004,0.2700005,0.4799995,10.09,-0.1600008
10.16,10.42,10.35,9752.954,9506.09,2.407246,2.533041,0.2600002,2.465726,2.503722,0.1399994,-0.05848,0.2699995,9.89,-0.0964756,0.0673149,0.106477,0.0249317,0.3900003,-0.0600004,0.1000004,10.03,0.1200008
11.95,12.32,11.98,9710.688,9421.241,2.15229,2.979315,0.3699999,2.533041,2.407246,0.2600002,-0.3807509,1.79,10.16,-0.254956,0.446274,-0.0964756,0.0673149,1.9,0.3900003,0.2699995,10.42,0.1099997
14.62,15.17,15.27,9648.32,9296.771,2.410289,3.644986,0.5500002,2.979315,2.15229,0.3699999,-0.5690265,2.67,11.95,0.2579985,0.6656713,-0.254956,0.446274,2.85,1.9,1.79,12.32,0.1800003
7.99,8.43,8.78,9804.688,9596.611,5.463359,1.992027,0.4400005,3.644986,2.410289,0.5500002,1.818373,-6.63,14.62,3.053071,-1.652959,0.2579985,0.6656713,-6.74,2.85,2.67,15.17,-0.1099997
10.23,10.91,11.09,9751.294,9484.062,1.611846,2.550493,0.6800003,1.992027,5.463359,0.4400005,-0.3801811,2.24,7.99,-3.851513,0.5584657,3.053071,-1.652959,2.48,-6.74,-6.63,8.43,0.2399998
15.22,15.56,15.04,9634.415,9279.994,1.585328,3.794575,0.3400002,2.550493,1.611846,0.6800003,-0.9651647,4.990001,10.23,-0.0265179,1.244082,-3.851513,0.5584657,4.650001,2.48,2.24,10.91,-0.3400002
15.11,15.23,14.74,9636.961,9294.187,3.846627,3.767151,0.1199999,3.794575,1.585328,0.3400002,0.052052,-0.1100006,15.22,2.261299,-0.0274248,-0.0265179,1.244082,-0.3300009,4.650001,4.990001,15.56,-0.2200003
15.54,14.94,14.46,9627.015,9306.694,3.581036,3.874356,-0.6000004,3.767151,3.846627,0.1199999,-0.186115,0.4300003,15.11,-0.2655919,0.1072056,2.261299,-0.0274248,-0.29,-0.3300009,-0.1100006,15.23,-0.7200003
16.46,17.35,17.13,9605.804,9203.761,3.213916,4.103726,0.8900013,3.874356,3.581036,-0.6000004,-0.66044,0.9199991,15.54,-0.3671193,0.2293696,-0.2655919,0.1072056,2.410001,-0.29,0.4300003,14.94,1.490002
10.94,11.79,12.13,9734.491,9444.757,5.766452,2.727507,0.8500004,4.103726,3.213916,0.8900013,1.662726,-5.52,16.46,2.552536,-1.376219,-0.3671193,0.2293696,-5.56,2.410001,0.9199991,17.35,-0.0400009
13.04,14.12,14.29,9685.13,9342.244,2.545042,3.251069,1.08,2.727507,5.766452,0.8500004,-0.1824644,2.1,10.94,-3.22141,0.523562,2.552536,-1.376219,2.33,-5.56,-5.52,11.79,0.2299995
11.97,12.52,12.93,9710.218,9412.398,3.938814,2.984301,0.5500002,3.251069,2.545042,1.08,0.6877456,-1.07,13.04,1.393772,-0.2667673,-3.22141,0.523562,-1.599999,2.33,2.1,14.12,-0.5299997
8.66,10.2,11.1,9788.656,9516.013,3.99747,2.159068,1.54,2.984301,3.938814,0.5500002,1.013169,-3.31,11.97,0.058656,-0.825233,1.393772,-0.2667673,-2.320001,-1.599999,-1.07,12.52,0.9899998
8.51,9.0,9.31,9792.241,9570.507,2.902776,2.121671,0.4899998,2.159068,3.99747,1.54,0.7437074,-0.1499996,8.66,-1.094694,-0.0373971,0.058656,-0.825233,-1.2,-2.320001,-3.31,10.2,-1.05
8.15,8.38,8.61,9800.854,9598.907,2.406849,2.031918,0.2300005,2.121671,2.902776,0.4899998,0.2851779,-0.3600006,8.51,-0.4959266,-0.0897534,-1.094694,-0.0373971,-0.6199999,-1.2,-0.1499996,9.0,-0.2599993
8.91,9.23,9.46,9782.688,9560.014,1.914596,2.221397,0.3199997,2.031918,2.406849,0.2300005,-0.117322,0.7600002,8.15,-0.4922533,0.1894794,-0.4959266,-0.0897534,0.8499994,-0.6199999,-0.3600006,8.38,0.0899992
9.56,10.1,10.47,9767.203,9520.53,2.167251,2.383452,0.54,2.221397,1.914596,0.3199997,-0.0541465,0.6500006,8.91,0.2526548,0.162055,-0.4922533,0.1894794,0.8700008,0.8499994,0.7600002,9.23,0.2200003
9.17,9.56,9.91,9776.488,9544.999,2.688485,2.286219,0.3900003,2.383452,2.167251,0.54,0.3050325,-0.3900003,9.56,0.521234,-0.0972331,0.2526548,0.162055,-0.54,0.8700008,0.6500006,10.1,-0.1499996
9.47,9.89,10.2,9769.345,9530.031,2.3504,2.361014,0.4200001,2.286219,2.688485,0.3900003,0.0641813,0.3000002,9.17,-0.3380842,0.0747945,0.521234,-0.0972331,0.3299999,-0.54,-0.3900003,9.56,0.0299997
10.08,11.25,12.06,9754.852,9468.837,2.359072,2.513096,1.17,2.361014,2.3504,0.4200001,-0.0019414,0.6099997,9.47,0.0086718,0.1520822,-0.3380842,0.0747945,1.36,0.3299999,0.3000002,9.89,0.75
11.01,11.44,11.86,9732.838,9460.351,2.788104,2.744959,0.4299994,2.513096,2.359072,1.17,0.2750077,0.9300003,10.08,0.4290314,0.231863,0.0086718,0.1520822,0.1899996,1.36,0.6099997,11.25,-0.7400007
8.68,9.14,9.73,9788.179,9564.117,3.465285,2.164055,0.46,2.744959,2.788104,0.4299994,0.7203262,-2.33,11.01,0.6771815,-0.580904,0.4290314,0.231863,-2.299999,0.1899996,0.9300003,11.44,0.0300007
8.82,9.31,9.69,9784.836,9556.37,2.30778,2.198959,0.4900007,2.164055,3.465285,0.46,0.1437247,0.1399994,8.68,-1.157506,0.034904,0.6771815,-0.580904,0.1700001,-2.299999,-2.33,9.14,0.0300007
7.3,7.55,7.92,9821.253,9637.192,2.771793,1.82,0.25,2.198959,2.30778,0.4900007,0.5728343,-1.52,8.82,0.4640136,-0.3789588,-1.157506,0.034904,-1.76,0.1700001,0.1399994,9.31,-0.2400007
7.36,7.68,8.02,9819.811,9631.176,1.894931,1.834959,0.3199997,1.82,2.771793,0.25,0.0749311,0.0599999,7.3,-0.8768619,0.0149589,0.4640136,-0.3789588,0.1299996,-1.76,-1.52,7.55,0.0699997
7.36,7.58,7.81,9819.811,9635.804,1.958585,1.834959,0.2199998,1.834959,1.894931,0.3199997,0.1236261,0.0,7.36,0.0636538,0.0,-0.8768619,0.0149589,-0.0999999,0.1299996,0.0599999,7.68,-0.0999999
7.22,7.34,7.41,9823.178,9646.928,1.94456,1.800055,0.1200004,1.834959,1.958585,0.2199998,0.1096015,-0.1400003,7.36,-0.0140246,-0.0349041,0.0636538,0,-0.2399998,-0.0999999,0,7.58,-0.0999994
6.49,6.7,6.88,9840.771,9676.718,2.009373,1.618055,0.21,1.800055,1.94456,0.1200004,0.2093184,-0.73,7.22,0.0648128,-0.182,-0.0140246,-0.0349041,-0.6400003,-0.2399998,-0.1400003,7.34,0.0899997
5.27,5.35,5.52,9870.314,9740.164,2.000644,1.31389,0.0799999,1.618055,2.009373,0.21,0.3825892,-1.22,6.49,-0.0087292,-0.3041643,0.0648128,-0.182,-1.35,-0.6400003,-0.73,6.7,-0.1300001
5.51,5.62,5.75,9864.489,9727.409,1.276418,1.373726,0.1099997,1.31389,2.000644,0.0799999,-0.0374726,0.2400002,5.27,-0.7242261,0.0598357,-0.0087292,-0.3041643,0.27,-1.35,-1.22,5.35,0.0299997
5.58,5.66,5.87,9862.791,9725.521,1.391756,1.391178,0.0799999,1.373726,1.276418,0.1099997,0.0180303,0.0699997,5.51,0.1153386,0.0174519,-0.7242261,0.0598357,0.04,0.27,0.2400002,5.62,-0.0299997
5.8,6.41,6.81,9857.458,9690.277,1.356601,1.446027,0.6099997,1.391178,1.391756,0.0799999,-0.034577,0.2200003,5.58,-0.0351554,0.0548494,0.1153386,0.0174519,0.75,0.04,0.0699997,5.66,0.5299997
6.42,6.6,7.12,9842.461,9681.39,1.570477,1.600603,0.1799998,1.446027,1.356601,0.6099997,0.1244497,0.6199999,5.8,0.2138761,0.1545753,-0.0351554,0.0548494,0.1900001,0.75,0.2200003,6.41,-0.4299998
5.41,6.4,6.97,9866.916,9690.746,1.91632,1.348794,0.9900002,1.600603,1.570477,0.1799998,0.3157169,-1.01,6.42,0.3458425,-0.2518083,0.2138761,0.1545753,-0.1999998,0.1900001,0.6199999,6.6,0.8100004
5.74,6.0,6.55,9858.912,9709.513,1.735326,1.431068,0.2600002,1.348794,1.91632,0.9900002,0.3865314,0.3299999,5.41,-0.1809938,0.082274,0.3458425,-0.2518083,-0.4000001,-0.1999998,-1.01,6.4,-0.73
6.72,7.16,7.62,9835.221,9655.288,1.294689,1.675397,0.4400001,1.431068,1.735326,0.2600002,-0.1363792,0.98,5.74,-0.4406366,0.2443287,-0.1809938,0.082274,1.16,-0.4000001,0.3299999,6.0,0.1799998
7.51,7.89,8.26,9816.206,9621.473,1.66663,1.872356,0.3799996,1.675397,1.294689,0.4400001,-0.0087668,0.7900004,6.72,0.3719412,0.196959,-0.4406366,0.2443287,0.73,1.16,0.98,7.16,-0.0600004
8.08,8.4,8.61,9802.531,9597.989,1.881818,2.014466,0.3199997,1.872356,1.66663,0.3799996,0.0094618,0.5699997,7.51,0.2151875,0.1421096,0.3719412,0.196959,0.5099998,0.73,0.7900004,7.89,-0.0599999
8.97,9.3,9.37,9781.256,9556.825,1.909427,2.236356,0.3299999,2.014466,1.881818,0.3199997,-0.1050388,0.8900003,8.08,0.0276091,0.2218904,0.2151875,0.1421096,0.9000006,0.5099998,0.5699997,8.4,0.0100002
8.92,8.86,8.86,9782.449,9576.905,2.360868,2.223891,-0.0600004,2.236356,1.909427,0.3299999,0.1245117,-0.0500002,8.97,0.4514409,-0.0124657,0.0276091,0.2218904,-0.4400005,0.9000006,0.8900003,9.3,-0.3900003
8.16,8.22,8.29,9800.615,9606.265,2.335932,2.034411,0.0600004,2.223891,2.360868,-0.0600004,0.112041,-0.7600002,8.92,-0.0249364,-0.1894796,0.4514409,-0.0124657,-0.6399994,-0.4400005,-0.0500002,8.86,0.1200008
7.85,7.79,7.7,9808.045,9626.091,2.100507,1.957123,-0.0599999,2.034411,2.335932,0.0600004,0.0660961,-0.3099999,8.16,-0.2354245,-0.0772877,-0.0249364,-0.1894796,-0.4300003,-0.6399994,-0.7600002,8.22,-0.1200004
