1950,0.198,0.398,0.155,0.201,0.29,0.43,0.859,0.47,0.47.1,878.7,15.4,1203.7,1,0,2.734367,6.778443,7.093155,-1.86433,.,-0.7550226,..1,0.099995,-2.302635,-1.619488
1951,0.209,0.41,0.164,0.207,0.29,0.45,0.881,0.449,0.449,925.0,16.0,1328.2,2,0,2.772589,6.829794,7.19158,-1.807889,-1.870803,-0.8007324,-0.7550226,0.1055195,-2.248859,-1.565421
1952,0.225,0.421,0.18,0.226,0.29,0.48,0.953,0.434,0.434,1015.9,14.8,1380.0,3,0,2.694627,6.92353,7.229839,-1.714798,-1.832582,-0.8347108,-0.8007324,0.1207838,-2.113753,-1.491655
1953,0.311,0.48,0.229,0.231,0.29,0.5,0.97,0.428,0.428,1081.3,14.5,1435.3,4,0,2.674149,6.985919,7.269129,-1.474033,-1.910543,-0.8486321,-0.8347108,0.1496688,-1.899331,-1.167962
1954,0.313,0.508,0.211,0.224,0.29,0.52,1.0,0.415,0.415,1104.4,15.3,1416.2,5,0,2.727853,7.007058,7.255733,-1.555897,-1.931022,-0.8794768,-0.8486321,0.1380157,-1.980387,-1.161552
1955,0.369,0.547,0.231,0.236,0.29,0.57,1.003,0.419,0.419,1138.5,13.2,1494.9,6,0,2.580217,7.037467,7.309814,-1.465338,-1.877317,-0.8698844,-0.8794768,0.1592029,-1.837576,-0.9969587
1956,0.447,0.601,0.257,0.245,0.29,0.64,1.011,0.412,0.412,1185.1,13.3,1525.6,7,0,2.587764,7.077582,7.330143,-1.358679,-2.024953,-0.8867319,-0.8698844,0.1822213,-1.702533,-0.8051967
1957,0.488,0.685,0.251,0.244,0.29,0.76,1.035,0.412,0.412,1221.8,12.8,1551.1,8,0,2.549445,7.10808,7.34672,-1.382302,-2.017406,-0.8867319,-0.8867319,0.1738277,-1.749691,-0.7174399
1958,0.555,0.716,0.258,0.238,0.29,0.83,1.089,0.397,0.397,1258.4,14.2,1539.2,9,0,2.653242,7.137597,7.339018,-1.354796,-2.055725,-0.9238189,-0.8867319,0.1844832,-1.690197,-0.5887871
1959,0.588,0.789,0.266,0.26,0.29,0.87,1.11,0.394,0.394,1363.6,13.3,1629.1,10,0,2.587764,7.217884,7.395783,-1.324259,-1.951928,-0.9314044,-0.9238189,0.1937643,-1.641113,-0.5310283
1960,0.616,0.84,0.268,0.27,0.29,0.92,1.138,0.403,0.403,1473.2,11.8,1665.3,11,0,2.4681,7.295192,7.41776,-1.316768,-2.017406,-0.9088187,-0.9314044,0.198,-1.619488,-0.4845083
1961,0.608,0.875,0.251,0.269,0.29,0.99,1.173,0.397,0.397,1562.8,12.7,1708.7,12,0,2.541602,7.354234,7.443488,-1.382302,-2.137071,-0.9238189,-0.9088187,0.1869166,-1.677093,-0.4975804
1962,0.707,0.933,0.27,0.279,0.29,1.06,1.216,0.385,0.385,1683.9,12.8,1799.4,13,0,2.549445,7.428868,7.495209,-1.309333,-2.063568,-0.9545119,-0.9238189,0.211418,-1.553918,-0.3467246
1963,0.723,1.036,0.255,0.279,0.29,1.13,1.247,0.395,0.395,1820.7,11.0,1873.3,14,0,2.397895,7.506976,7.535457,-1.366492,-2.055725,-0.9288695,-0.9545119,0.1947075,-1.636257,-0.3243461
1964,0.809,1.097,0.274,0.294,0.31,1.18,1.298,0.396,0.396,1916.8,11.2,1973.3,15,0,2.415914,7.558413,7.587462,-1.294627,-2.207275,-0.9263411,-0.9288695,0.216815,-1.528711,-0.2119563
1965,0.834,1.176,0.271,0.302,0.31,1.23,1.327,0.401,0.401,2083.0,11.7,2087.6,16,0,2.459589,7.641564,7.64377,-1.305637,-2.189256,-0.9137939,-0.9263411,0.2141735,-1.540969,-0.1815219
1966,0.854,1.288,0.325,0.444,0.44,1.29,1.358,0.399,0.399,2223.2,12.3,2208.3,17,0,2.509599,7.706703,7.699978,-1.12393,-2.145581,-0.9187939,-0.9137939,0.2943913,-1.222845,-0.1578241
1967,0.971,1.371,0.365,0.448,0.44,1.39,1.421,0.399,0.399,2328.4,11.6,2271.4,18,0,2.451005,7.752936,7.728152,-1.007858,-2.095571,-0.9187939,-0.9187939,0.3172925,-1.147931,-0.0294288
1968,1.104,1.512,0.381,0.455,0.44,1.55,1.5,0.403,0.403,2455.3,10.3,2365.6,19,0,2.332144,7.806004,7.768787,-0.9649559,-2.154165,-0.9088187,-0.9187939,0.3322222,-1.101951,0.0989399
1969,1.149,1.667,0.36,0.455,0.49,1.65,1.552,0.399,0.399,2684.0,10.3,2423.3,20,0,2.332144,7.895063,7.792886,-1.021651,-2.273026,-0.9187939,-0.9088187,0.3136143,-1.159591,0.138892
1970,1.209,1.856,0.347,0.458,0.47,1.76,1.616,0.428,0.395,2901.4,10.7,2416.2,21,0,2.370244,7.972949,7.789951,-1.05843,-2.273026,-0.8486321,-0.9187939,0.2983416,-1.209516,0.1897936
1971,1.224,1.99,0.331,0.457,0.47,1.87,1.708,0.423,0.398,3075.6,11.6,2484.8,22,0,2.451005,8.031256,7.817947,-1.105637,-2.234926,-0.8603831,-0.8486321,0.2810894,-1.269082,0.2021242
1972,1.257,2.144,0.316,0.449,0.47,2.0,1.78,0.423,0.393,3215.9,11.9,2608.5,23,0,2.476538,8.075863,7.86653,-1.152013,-2.154165,-0.8603831,-0.8603831,0.263243,-1.334678,0.2287279
1973,1.262,2.281,0.304,0.452,0.47,2.13,1.817,0.421,0.389,3450.3,11.6,2744.1,24,0,2.451005,8.146216,7.917209,-1.190728,-2.128632,-0.8651224,-0.8603831,0.2500763,-1.385989,0.2326977
1974,1.681,2.452,0.381,0.544,0.6,2.32,1.946,0.405,0.358,3493.6,13.2,2729.3,25,1,2.580217,8.158688,7.9118,-0.9649559,-2.154165,-0.9038682,-0.8651224,0.3729462,-0.9863211,0.5193889
1975,1.871,2.562,0.434,0.594,0.66,2.56,2.082,0.368,0.336,3424.7,18.1,2695.0,26,2,2.895912,8.138769,7.899154,-0.8347108,-2.024953,-0.9996724,-0.9038682,0.4337915,-0.8351912,0.6264731
1976,2.034,2.681,0.442,0.588,0.64,2.78,2.174,0.364,0.334,3461.6,19.5,2826.7,27,3,2.970414,8.149487,7.946865,-0.8164454,-1.709258,-1.010601,-0.9996724,0.4460992,-0.807214,0.7100043
1977,2.198,3.023,0.435,0.59,0.64,3.02,2.24,0.358,0.364,3623.5,19.9,2958.6,28,4,2.99072,8.195196,7.992472,-0.8324093,-1.634756,-1.027222,-1.010601,0.4289844,-0.8463346,0.7875478
1978,2.509,3.323,0.456,0.596,0.64,3.36,2.34,0.362,0.36,3817.4,18.1,3115.2,29,5,2.895912,8.247325,8.044048,-0.7852625,-1.61445,-1.016111,-1.027222,0.4500042,-0.7984983,0.9198843
1979,2.768,3.589,0.468,0.594,0.64,3.69,2.483,0.36,0.36,4025.0,17.0,3192.4,30,6,2.833213,8.300281,8.068528,-0.759287,-1.709258,-1.021651,-1.016111,0.4581198,-0.7806246,1.018125
1980,2.997,3.883,0.461,0.589,0.64,4.02,2.716,0.359,0.355,4076.8,17.1,3187.1,31,7,2.839078,8.313067,8.066867,-0.7743573,-1.771957,-1.024433,-1.021651,0.4546055,-0.7883254,1.097612
1981,3.264,4.181,0.467,0.587,0.64,4.39,2.954,0.343,0.328,4127.0,19.9,3248.8,32,8,2.99072,8.325306,8.086041,-0.761426,-1.766092,-1.070025,-1.024433,0.4582559,-0.7803276,1.182953
1982,3.305,4.318,0.461,0.585,0.64,4.64,3.175,0.318,0.314,3976.5,22.8,3166.0,33,9,3.12676,8.288157,8.060225,-0.7743573,-1.61445,-1.145704,-1.070025,0.4477594,-0.8034993,1.195436
1983,3.35,4.456,0.454,0.583,0.64,4.83,3.321,0.321,0.329,3894.8,23.4,3279.1,34,10,3.152736,8.267398,8.095325,-0.7896581,-1.47841,-1.136314,-1.145704,0.4382967,-0.8248593,1.20896
1984,3.35,4.498,0.449,0.586,0.64,5.02,3.461,0.334,0.332,4048.4,20.7,3501.4,35,11,3.030134,8.306077,8.160918,-0.8007324,-1.452434,-1.096614,-1.136314,0.4364384,-0.829108,1.20896
1985,3.35,4.565,0.44,0.579,0.64,5.19,3.548,0.331,0.338,4172.8,21.8,3607.5,36,12,3.08191,8.336343,8.19077,-0.8209805,-1.575037,-1.105637,-1.096614,0.4248959,-0.8559111,1.20896
1986,3.35,4.725,0.426,0.581,0.64,5.31,3.697,0.351,0.362,4281.6,18.9,3713.3,37,13,2.939162,8.362082,8.219676,-0.8533159,-1.52326,-1.046969,-1.105637,0.4119259,-0.8869117,1.20896
1987,3.35,4.879,0.409,0.582,0.64,5.33,3.787,0.369,0.377,4496.7,16.8,3819.6,38,14,2.821379,8.411099,8.247901,-0.8940401,-1.666008,-0.9969587,-1.046969,0.3996105,-0.9172648,1.20896
